,Name,Date,High,Low,Open,Close,Volume
0,Bitcoin,2013-04-29,147.48800659179688,134.0,134.44400024414062,144.5399932861328,0.0
1,Litecoin,2013-04-29,4.573599815368652,4.225639820098877,4.366759777069092,4.383900165557861,0.0
2,Bitcoin,2013-04-30,146.92999267578125,134.05000305175778,144.0,139.0,0.0
3,Litecoin,2013-04-30,4.572380065917969,4.168960094451903,4.403520107269287,4.29649019241333,0.0
4,Bitcoin,2013-05-01,139.88999938964844,107.72000122070312,139.0,116.98999786376952,0.0
5,Litecoin,2013-05-01,4.356860160827637,3.520289897918701,4.289539813995361,3.8010098934173584,0.0
6,Bitcoin,2013-05-02,125.5999984741211,92.28189849853516,116.37999725341795,105.20999908447266,0.0
7,Litecoin,2013-05-02,4.039299964904785,3.0071699619293213,3.780019998550415,3.3719799518585205,0.0
8,Bitcoin,2013-05-03,108.12799835205078,79.0999984741211,106.25,97.75,0.0
9,Litecoin,2013-05-03,3.4536099433898926,2.395940065383911,3.3904399871826167,3.044909954071045,0.0
10,Bitcoin,2013-05-06,124.66300201416016,106.63999938964844,115.9800033569336,112.3000030517578,0.0
11,Litecoin,2013-05-06,3.781019926071167,3.11601996421814,3.5942199230194087,3.3712499141693115,0.0
12,Bitcoin,2013-05-07,113.44400024414062,97.6999969482422,112.25,111.5,0.0
13,Litecoin,2013-05-07,3.4067199230194087,2.9397900104522705,3.3708701133728027,3.332740068435669,0.0
14,Bitcoin,2013-05-08,115.77999877929688,109.5999984741211,109.5999984741211,113.56600189208984,0.0
15,Litecoin,2013-05-08,3.4911201000213623,3.2836201190948486,3.2836201190948486,3.4092400074005127,0.0
16,Bitcoin,2013-05-09,113.45999908447266,109.26000213623048,113.1999969482422,112.66999816894531,0.0
17,Litecoin,2013-05-09,3.4416899681091313,3.2948501110076904,3.399399995803833,3.4161500930786133,0.0
18,Bitcoin,2013-05-10,122.0,111.5510025024414,112.79900360107422,117.1999969482422,0.0
19,Litecoin,2013-05-10,3.6316399574279785,3.367189884185791,3.406529903411865,3.4433400630950928,0.0
20,Bitcoin,2013-05-13,118.6989974975586,114.5,114.81999969482422,117.9800033569336,0.0
